Precinct Number,Early Day,Election Day,Total
101,699,653,"1,352"
102,141,151,292
103,364,285,649
104,339,177,516
105,973,885,"1,858"
106,499,654,"1,153"
107,62,90,152
108,235,284,519
109,435,429,864
110,847,855,"1,702"
111,792,765,"1,557"
112,195,183,378
113,904,919,"1,823"
114,56,59,115
115,0,0,0
116,0,0,0
117,449,363,812
118,121,91,212
119,0,0,0
120,34,19,53
121,203,96,299
122,711,383,"1,094"
123,692,724,"1,416"
124,997,737,"1,734"
125,0,0,0
126,"1,143",859,"2,002"
127,0,0,0
128,0,0,0
129,548,436,984
130,388,399,787
131,0,0,0
132,632,453,"1,085"
133,561,533,"1,094"
134,0,0,0
135,"1,472",989,"2,461"
136,732,575,"1,307"
137,"1,348","1,488","2,836"
138,0,0,0
139,625,437,"1,062"
140,388,239,627
141,75,44,119
142,174,120,294
145,436,474,910
146,712,475,"1,187"
148,656,568,"1,224"
149,401,331,732
150,589,447,"1,036"
151,621,384,"1,005"
152,"1,101",766,"1,867"
153,860,715,"1,575"
154,415,527,942
156,"1,218",835,"2,053"
160,380,363,743
161,297,233,530
163,46,57,103
164,266,246,512
200,"1,063",722,"1,785"
202,810,344,"1,154"
203,89,167,256
205,389,430,819
206,216,199,415
207,943,807,"1,750"
208,802,535,"1,337"
209,194,81,275
210,674,253,927
211,370,347,717
212,"1,313",357,"1,670"
213,0,0,0
214,840,628,"1,468"
215,338,370,708
216,284,243,527
217,437,388,825
218,745,692,"1,437"
219,494,567,"1,061"
220,685,405,"1,090"
221,206,62,268
222,581,279,860
223,113,101,214
224,27,28,55
225,559,463,"1,022"
226,294,236,530
227,124,84,208
228,470,312,782
229,393,394,787
231,"1,071",654,"1,725"
232,"1,628","1,001","2,629"
233,815,794,"1,609"
234,575,598,"1,173"
235,618,585,"1,203"
236,925,753,"1,678"
237,778,485,"1,263"
238,820,686,"1,506"
239,891,577,"1,468"
240,288,339,627
241,455,468,923
242,"1,458","1,101","2,559"
243,706,340,"1,046"
244,944,462,"1,406"
245,253,217,470
246,611,376,987
247,305,180,485
248,648,556,"1,204"
249,935,654,"1,589"
250,"1,336",573,"1,909"
251,967,539,"1,506"
252,779,574,"1,353"
253,"1,176",657,"1,833"
254,792,564,"1,356"
256,861,259,"1,120"
258,681,538,"1,219"
259,727,644,"1,371"
260,191,186,377
262,"1,496",822,"2,318"
263,615,655,"1,270"
266,242,60,302
267,464,265,729
268,196,248,444
273,927,656,"1,583"
274,559,464,"1,023"
275,722,612,"1,334"
277,693,363,"1,056"
301,254,253,507
302,"1,008",544,"1,552"
303,785,652,"1,437"
304,"1,190",923,"2,113"
305,5,3,8
306,"1,015",520,"1,535"
307,506,230,736
308,"1,250","1,220","2,470"
309,785,373,"1,158"
310,"1,068",796,"1,864"
311,770,437,"1,207"
312,597,313,910
313,49,50,99
314,"1,422",871,"2,293"
315,"1,188",502,"1,690"
316,473,468,941
317,860,510,"1,370"
318,151,172,323
319,720,386,"1,106"
320,719,299,"1,018"
321,300,87,387
323,445,291,736
324,"1,249",970,"2,219"
325,10,3,13
326,586,623,"1,209"
327,"1,030",677,"1,707"
328,"1,035",730,"1,765"
329,728,524,"1,252"
330,847,598,"1,445"
331,778,523,"1,301"
332,743,738,"1,481"
333,615,755,"1,370"
334,866,729,"1,595"
335,675,506,"1,181"
336,555,617,"1,172"
337,"1,022",983,"2,005"
338,"1,244","1,113","2,357"
339,594,353,947
340,572,363,935
341,0,1,1
342,"1,371","1,009","2,380"
343,269,305,574
344,554,322,876
345,0,0,0
346,"1,430",581,"2,011"
347,"1,003",476,"1,479"
349,"1,304",937,"2,241"
350,"1,008",620,"1,628"
351,414,291,705
352,922,586,"1,508"
354,"1,370",908,"2,278"
356,354,292,646
357,170,132,302
358,"1,197",823,"2,020"
359,"1,152",698,"1,850"
360,"1,247",633,"1,880"
361,326,318,644
362,957,559,"1,516"
363,583,325,908
364,"1,422",523,"1,945"
365,464,395,859
366,"1,414",995,"2,409"
367,"1,506","1,327","2,833"
368,114,72,186
369,418,538,956
370,122,450,572
371,426,676,"1,102"
372,282,507,789
373,974,"1,348","2,322"
374,991,215,"1,206"
375,200,249,449
401,302,355,657
402,424,437,861
403,170,285,455
404,330,323,653
405,65,45,110
406,"1,039",499,"1,538"
407,280,187,467
408,678,461,"1,139"
409,436,405,841
410,553,436,989
411,271,230,501
412,17,8,25
413,146,103,249
414,588,603,"1,191"
415,233,278,511
416,23,26,49
417,343,234,577
418,3,1,4
419,131,95,226
420,543,309,852
421,649,440,"1,089"
422,574,457,"1,031"
423,599,411,"1,010"
424,628,479,"1,107"
425,219,126,345
426,507,416,923
427,410,380,790
428,334,208,542
429,768,627,"1,395"
430,239,214,453
431,836,661,"1,497"
432,0,1,1
433,582,365,947
434,1,1,2
435,"1,389",905,"2,294"
436,49,64,113
437,575,471,"1,046"
438,294,247,541
439,507,463,970
440,175,144,319
441,869,669,"1,538"
442,239,206,445
443,555,426,981
444,25,26,51
446,255,217,472
447,767,622,"1,389"
448,392,354,746
450,640,493,"1,133"
451,623,505,"1,128"
452,283,238,521
454,666,296,962
458,922,569,"1,491"
460,"1,006",480,"1,486"
461,892,630,"1,522"
463,707,580,"1,287"
